year,zip_code,age_group,number_of_visits,age_adjusted_rate,county_fips_code,county
2012,"90021
(34.03012156000045, -118.24177861599969)",Children (0-17),,,6037,LOS ANGELES
2012,"90021
(34.03012156000045, -118.24177861599969)",Adults (18+),38,190.3,6037,LOS ANGELES
2012,"90022
(34.023543222000455, -118.15512616999968)",AllAges,344,51,6037,LOS ANGELES
2012,"90022
(34.023543222000455, -118.15512616999968)",Children (0-17),146,71.1,6037,LOS ANGELES
2012,"90022
(34.023543222000455, -118.15512616999968)",Adults (18+),198,44.1,6037,LOS ANGELES
2012,"90023
(34.02418193800048, -118.20195663999971)",AllAges,285,56.5,6037,LOS ANGELES
2012,"90023
(34.02418193800048, -118.20195663999971)",Children (0-17),158,104.1,6037,LOS ANGELES
2012,"90023
(34.02418193800048, -118.20195663999971)",Adults (18+),127,40,6037,LOS ANGELES
2012,"90024
(34.06136215000049, -118.4402367409997)",AllAges,52,15.5,6037,LOS ANGELES
2012,"90024
(34.06136215000049, -118.4402367409997)",Children (0-17),,,6037,LOS ANGELES
2012,"90024
(34.06136215000049, -118.4402367409997)",Adults (18+),43,12.1,6037,LOS ANGELES
2012,"92282
(33.92169194800044, -116.65472625099972)",Children (0-17),,,6065,RIVERSIDE
2012,"90025
(34.04518134900047, -118.45025632399972)",AllAges,73,20.8,6037,LOS ANGELES
2012,"90025
(34.04518134900047, -118.45025632399972)",Children (0-17),21,38.1,6037,LOS ANGELES
2012,"90025
(34.04518134900047, -118.45025632399972)",Adults (18+),52,14.8,6037,LOS ANGELES
2012,"90026
(34.07687382000046, -118.26535895999967)",AllAges,293,46.9,6037,LOS ANGELES
2012,"90026
(34.07687382000046, -118.26535895999967)",Children (0-17),128,91.6,6037,LOS ANGELES
2012,"90026
(34.07687382000046, -118.26535895999967)",Adults (18+),165,31.4,6037,LOS ANGELES
2012,"90027
(34.10546395500046, -118.2923675139997)",AllAges,190,49.2,6037,LOS ANGELES
2012,"90027
(34.10546395500046, -118.2923675139997)",Children (0-17),46,80.1,6037,LOS ANGELES
2012,"90027
(34.10546395500046, -118.2923675139997)",Adults (18+),144,38.4,6037,LOS ANGELES
2012,"90028
(34.10072355400047, -118.32821815499972)",AllAges,167,71.3,6037,LOS ANGELES
2012,"90028
(34.10072355400047, -118.32821815499972)",Children (0-17),40,136.3,6037,LOS ANGELES
2012,"90028
(34.10072355400047, -118.32821815499972)",Adults (18+),127,48.7,6037,LOS ANGELES
2012,"90029
(34.08989145600049, -118.29490934299969)",AllAges,191,56.5,6037,LOS ANGELES
2012,"90029
(34.08989145600049, -118.29490934299969)",Children (0-17),96,125.2,6037,LOS ANGELES
2012,"90029
(34.08989145600049, -118.29490934299969)",Adults (18+),95,32.7,6037,LOS ANGELES
2012,"90031
(34.07752122500045, -118.2131059239997)",AllAges,160,40.3,6037,LOS ANGELES
2012,"90031
(34.07752122500045, -118.2131059239997)",Children (0-17),79,77.4,6037,LOS ANGELES
2012,"90031
(34.07752122500045, -118.2131059239997)",Adults (18+),81,27.5,6037,LOS ANGELES
2012,"90032
(34.08151428500048, -118.17678602299969)",AllAges,255,55.7,6037,LOS ANGELES
2012,"90032
(34.08151428500048, -118.17678602299969)",Children (0-17),127,108.4,6037,LOS ANGELES
2012,"90032
(34.08151428500048, -118.17678602299969)",Adults (18+),128,37.4,6037,LOS ANGELES
2012,"90033
(34.04856176400045, -118.2115199969997)",AllAges,400,83.8,6037,LOS ANGELES
2012,"90033
(34.04856176400045, -118.2115199969997)",Children (0-17),172,117.2,6037,LOS ANGELES
2012,"90033
(34.04856176400045, -118.2115199969997)",Adults (18+),228,72.2,6037,LOS ANGELES
2012,"90034
(34.02829231300046, -118.40269589399969)",AllAges,192,39.7,6037,LOS ANGELES
2012,"90034
(34.02829231300046, -118.40269589399969)",Children (0-17),75,76.7,6037,LOS ANGELES
2012,"90034
(34.02829231300046, -118.40269589399969)",Adults (18+),117,26.9,6037,LOS ANGELES
2012,"90035
(34.05421027100044, -118.38387767499972)",AllAges,84,29.6,6037,LOS ANGELES
2012,"90035
(34.05421027100044, -118.38387767499972)",Children (0-17),22,36.4,6037,LOS ANGELES
2012,"90035
(34.05421027100044, -118.38387767499972)",Adults (18+),62,27.2,6037,LOS ANGELES
2012,"90036
(34.06889204400045, -118.35077742299967)",AllAges,89,27.3,6037,LOS ANGELES
2012,"90036
(34.06889204400045, -118.35077742299967)",Children (0-17),24,39.1,6037,LOS ANGELES
2012,"90036
(34.06889204400045, -118.35077742299967)",Adults (18+),65,23.1,6037,LOS ANGELES
2012,"90037
(34.00349102100046, -118.28709702299972)",AllAges,490,76.9,6037,LOS ANGELES
2012,"90037
(34.00349102100046, -118.28709702299972)",Children (0-17),236,124,6037,LOS ANGELES
2012,"90037
(34.00349102100046, -118.28709702299972)",Adults (18+),254,60.6,6037,LOS ANGELES
2012,"90038
(34.08898335000049, -118.32483774099973)",AllAges,131,51.8,6037,LOS ANGELES
2012,"90038
(34.08898335000049, -118.32483774099973)",Children (0-17),57,106.5,6037,LOS ANGELES
2012,"90038
(34.08898335000049, -118.32483774099973)",Adults (18+),74,32.8,6037,LOS ANGELES
2012,"90039
(34.111603448000494, -118.2612572749997)",AllAges,135,54.6,6037,LOS ANGELES
2012,"90039
(34.111603448000494, -118.2612572749997)",Children (0-17),46,91.5,6037,LOS ANGELES
2012,"90039
(34.111603448000494, -118.2612572749997)",Adults (18+),89,41.8,6037,LOS ANGELES
2012,"90040
(33.99649121800047, -118.15148940099971)",AllAges,60,56.7,6037,LOS ANGELES
2012,"90040
(33.99649121800047, -118.15148940099971)",Children (0-17),33,116.8,6037,LOS ANGELES
2012,"90040
(33.99649121800047, -118.15148940099971)",Adults (18+),27,35.9,6037,LOS ANGELES
2012,"90041
(34.13538366300048, -118.20684911499967)",AllAges,105,37,6037,LOS ANGELES
2012,"90041
(34.13538366300048, -118.20684911499967)",Children (0-17),27,52.2,6037,LOS ANGELES
2012,"90041
(34.13538366300048, -118.20684911499967)",Adults (18+),78,31.7,6037,LOS ANGELES
2012,"90042
(34.11332407100048, -118.19142869099971)",AllAges,259,42.6,6037,LOS ANGELES
2012,"90042
(34.11332407100048, -118.19142869099971)",Children (0-17),98,64.2,6037,LOS ANGELES
2012,"90042
(34.11332407100048, -118.19142869099971)",Adults (18+),161,35.1,6037,LOS ANGELES
2012,"90043
(33.98673233600044, -118.33290641599967)",AllAges,514,119.9,6037,LOS ANGELES
2012,"90043
(33.98673233600044, -118.33290641599967)",Children (0-17),212,205.6,6037,LOS ANGELES
2012,"90043
(33.98673233600044, -118.33290641599967)",Adults (18+),302,90.2,6037,LOS ANGELES
2012,"90044
(33.95386236800044, -118.2919460489997)",AllAges,1006,104.4,6037,LOS ANGELES
2012,"90044
(33.95386236800044, -118.2919460489997)",Children (0-17),503,171.3,6037,LOS ANGELES
2012,"90044
(33.95386236800044, -118.2919460489997)",Adults (18+),503,81.2,6037,LOS ANGELES
2012,"90045
(33.961522614000444, -118.39344972199967)",AllAges,133,40,6037,LOS ANGELES
2012,"90045
(33.961522614000444, -118.39344972199967)",Children (0-17),55,78.4,6037,LOS ANGELES
2012,"90045
(33.961522614000444, -118.39344972199967)",Adults (18+),78,26.6,6037,LOS ANGELES
2012,"90046
(34.097151960000474, -118.35826821299969)",AllAges,101,26.1,6037,LOS ANGELES
2012,"90046
(34.097151960000474, -118.35826821299969)",Children (0-17),21,50,6037,LOS ANGELES
2012,"90046
(34.097151960000474, -118.35826821299969)",Adults (18+),80,17.8,6037,LOS ANGELES
2012,"90047
(33.95687345800047, -118.3090784049997)",AllAges,520,106.6,6037,LOS ANGELES
2012,"90047
(33.95687345800047, -118.3090784049997)",Children (0-17),195,160.5,6037,LOS ANGELES
2012,"90047
(33.95687345800047, -118.3090784049997)",Adults (18+),325,87.9,6037,LOS ANGELES
2012,"90048
(34.07316318500045, -118.37406665299972)",AllAges,74,35.1,6037,LOS ANGELES
2012,"90048
(34.07316318500045, -118.37406665299972)",Children (0-17),,,6037,LOS ANGELES
