"Speed","Humidity","Region","C2","C3"
7.56,31.6,1,0,0
8.88,29.42,1,1,0
8.2,89.6,1,0,1
7.41,54.12,2,0,0
8.2,44.44,2,1,0
9.15,37.17,2,0,1
7.64,42.34,3,0,0
7.2,84.38,3,1,0
9.24,37.32,3,0,1
6.81,53.82,4,0,0
7.12,88.42,4,1,0
8.31,89.21,4,0,1
6.86,86.7,5,0,0
8.16,71.33,5,1,0
9.42,58.57,5,0,1
6.86,76.27,6,0,0
8.68,45.5,6,1,0
9.26,66.68,6,0,1
7.22,68.66,7,0,0
8.25,66.79,7,1,0
8.93,82.78,7,0,1
7.64,47.27,8,0,0
8.22,58.34,8,1,0
9.89,29.52,8,0,1
